1;4.724;1.575;11.811
2;4.724;1.575;11.024
3;4.724;1.575;9.843
4;4.724;1.575;8.661
5;4.724;1.575;7.874
6;4.724;1.575;7.087
7;4.724;1.575;6.299
8;4.724;1.575;5.512
9;4.724;1.575;11.811
10;4.724;1.575;11.024
11;4.724;1.575;9.843
12;4.724;1.575;8.661
13;4.724;1.575;7.874
14;4.724;1.575;7.087
15;4.724;1.575;6.299
16;4.724;1.575;5.512
17;4.724;1.575;11.811
18;4.724;1.575;11.024
19;4.724;1.575;9.843
20;4.724;1.575;8.661
21;4.724;1.575;7.874
22;4.724;1.575;7.087
23;4.724;1.575;6.299
24;4.724;1.575;5.512
25;4.724;1.575;11.811
26;4.724;1.575;11.024
27;4.724;1.575;9.843
28;4.724;1.575;8.661
29;4.724;1.575;7.874
30;4.724;1.575;7.087
31;4.724;1.575;6.299
32;4.724;1.575;5.512
33;4.724;1.575;11.811
34;4.724;1.575;11.024
35;4.724;1.575;9.843
36;4.724;1.575;8.661
37;4.724;1.575;7.874
38;4.724;1.575;7.087
39;4.724;1.575;6.299
40;4.724;1.575;5.512
41;4.724;1.575;11.811
42;4.724;1.575;11.024
43;4.724;1.575;9.843
44;4.724;1.575;8.661
45;4.724;1.575;7.874
46;4.724;1.575;7.087
47;4.724;1.575;6.299
48;4.724;1.575;5.512
49;4.724;1.575;11.811
50;4.724;1.575;11.024
51;4.724;1.575;9.843
52;4.724;1.575;8.661
53;4.724;1.575;7.874
54;4.724;1.575;7.087
55;4.724;1.575;6.299
56;4.724;1.575;5.512
57;4.724;1.575;11.811
58;4.724;1.575;11.024
59;4.724;1.575;9.843
60;4.724;1.575;8.661
61;4.724;1.575;7.874
62;4.724;1.575;7.087
63;4.724;1.575;6.299
64;4.724;1.575;5.512
65;4.724;1.575;11.811
66;4.724;1.575;11.024
67;4.724;1.575;9.843
68;4.724;1.575;8.661
69;4.724;1.575;7.874
70;4.724;1.575;7.087
71;4.724;1.575;6.299
72;4.724;1.575;5.512
73;4.724;1.575;11.811
74;4.724;1.575;11.024
75;4.724;1.575;9.843
76;4.724;1.575;8.661
77;4.724;1.575;7.874
78;4.724;1.575;7.087
79;4.724;1.575;6.299
80;4.724;1.575;5.512
81;4.724;1.575;11.811
82;4.724;1.575;11.024
83;4.724;1.575;9.843
84;4.724;1.575;8.661
85;4.724;1.575;7.874
86;4.724;1.575;7.087
87;4.724;1.575;6.299
88;4.724;1.575;5.512
89;4.724;1.575;11.811
90;4.724;1.575;11.024
91;4.724;1.575;9.843
92;4.724;1.575;8.661
93;4.724;1.575;7.874
94;4.724;1.575;7.087
95;4.724;1.575;6.299
96;4.724;1.575;5.512
97;4.724;1.575;11.811
98;4.724;1.575;11.024
99;4.724;1.575;9.843
100;4.724;1.575;8.661
